ELECTRIC SYSTEM NII,THERMAL UNITS INSTALLED CAPACITY 2021,MAX ANNUAL PEAK DEMAND 2021,RES UNITS ENERGY GENERATION (MWh),THERMAL UNITS ENERGY GENERATION (MWh),ATC_NII (€/MWh),AVC_NII (€/MWh),SHARE OF ELECTRICITY PRODUCTION FROM RES (%)
RODOS,326.96,237.47,14443.21,103653.44,277.34,223.39,12.23
LESVOS,102.6,68.36,4457.3,23290.15,252.55,221.52,16.06
KOS-KALIMNOS,143.74,106.08,4424.99,49984.51,316.85,254.55,8.13
LIMNOS,26.15,16.3,1125.87,5886.35,282.66,230.29,16.06
MILOS,21.7,14.52,672.08,6020.23,238.34,209.08,10.04
CHIOS,77.78,51.9,3138.95,16611.93,275.02,234.64,15.89
SAMOS,49.63,33.1,3131.96,11596.38,260.8,207.42,21.26
KARPATHOS,19.05,12.45,688.35,4935.38,369.94,241.97,12.24
AGIOS EFSTRATIOS,0.84,0.35,0.0,121.24,421.59,325.65,0.0
AGATHONISI,0.64,0.24,0.0,89.07,926.43,484.78,0.0
AMORGOS,6.2,3.5,48.6,1629.16,478.49,399.81,2.9
ANAFI,1.15,0.64,0.0,262.21,504.33,463.56,0.0
ANTIKITHIRA,0.41,0.1,0.0,39.04,618.18,374.1,0.0
ARKOI,0.41,0.16,0.0,68.21,881.08,374.94,0.0
ASTYPALAIA,5.1,2.59,59.21,1074.14,472.19,387.25,5.22
GAVDOS,0.43,0.18,0.0,84.51,665.48,428.39,0.0
DONOUSA,0.99,0.46,0.0,206.57,645.42,386.46,0.0
EREIKOUSA,0.77,0.53,0.0,174.79,841.69,547.18,0.0
THIRA,80.19,58.35,116.55,33119.66,494.03,459.42,0.35
IKARIA,20.02,9.6,587.16,2785.68,470.2,300.91,17.41
KYTHNOS,7.2,4.34,39.27,1952.22,463.3,409.17,1.97
MEGISTI,2.22,1.19,0.0,677.7,474.0,376.58,0.0
OTHONON,0.66,0.29,0.0,91.95,775.44,362.05,0.0
PATMOS,8.93,6.14,315.54,2337.53,556.14,466.08,11.89
SERIFOS,7.97,4.14,23.4,1591.14,416.68,373.65,1.45
SIFNOS,11.48,7.5,328.62,2872.36,552.6,425.91,10.27
SKYROS,7.65,4.86,71.2,1956.31,443.87,355.61,3.51
SIMI,9.88,4.06,26.12,1974.39,439.66,385.51,1.31
